,Año,Trimestre,Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Más de 30 Mbps,OTROS,Total velocidad,Mbps (Media de bajada),ADSL,Cablemodem,Fibra óptica,Wireless,Otros accesos tecnologia,Total accesos tecnologia,Accesos por cada 100 hab,Accesos por cada 100 hogares,Banda ancha fija,Dial up,Total BAF-Dial,Ingresos totales (miles de $),Total de accesos pospago,Total de accesos prepago,Total de accesos operativos,Ingresos disp moviles (miles de $),Accesos disp_movil cada 100 hab,Accesos TV por suscripción,Accesos TV satelital,Accesos TV por suscripción por cada 100 hab,Accesos TV satelital por cada 100 hab,Accesos TV por suscripción por cada 100 hogares,Accesos TV satelital por cada 100 hogares,Ingresos TV por suscripción  (miles de $),Ingresos TV satelital (miles de $)
0,2024,1,28801,69355,866152,950930,672155,353896,8363694,328173,11633156,139.15,774475,5986957,4015101,598682,257941,11633156,24.79,78.89,11621363,11793,11633156,280419124.08,8398514.0,54455565.0,62854079,769485386,133.93167822420975,7601499,1445205,16.2,3.08,51.55,9.8,190787199.53,94270533.93
1,2023,4,29708,71742,900253,978108,697232,350290,8224736,295592,11547661,139.04,836390,6022532,3908183,585760,194796,11547661,24.66,78.56,11535868,11793,11547661,167376014.8,8301200.0,54407950.0,62709150,515335742,133.91753433955006,7650809,1508789,16.34,3.22,52.05,10.26,133582200.79,64748818.98
2,2023,3,30274,80609,945608,998725,720084,350918,8003269,277421,11406908,129.67,897895,6018832,3708718,581436,200027,11406908,24.41,77.84,11395115,11793,11406908,133106593.41,7903181.0,53281127.0,61184308,380119973,130.9499635354215,7743735,1683205,16.57,3.6,52.84,11.49,103738032.78,51179479.92
3,2023,2,30827,79405,963510,1028250,734125,364730,7775095,275955,11251897,123.95,1006509,5997149,3463988,581823,202428,11251897,24.14,77.02,11239781,12116,11251897,118060280.28,7310125.0,53572899.0,60883024,307337085,130.59534038463093,8076400,1735655,17.32,3.72,55.29,11.88,87015368.63,38625145.74
4,2023,1,31437,82048,1001553,1060321,729194,357769,7564819,414754,11241895,110.5,1204417,6002582,3243411,576647,214838,11241895,24.17,77.2,11229459,12436,11241895,104134992.81,7028083.0,53269840.0,60297923,257558366,129.63207816064534,7770412,1766221,16.71,3.8,53.36,12.13,74739351.28,33430741.33
5,2022,4,31981,85668,1075272,1109421,765015,335573,7410902,394282,11208114,106.56,1315373,6037457,3060575,572969,221740,11208114,24.15,77.21,11195668,12446,11208114,72443482.9891497,6546406.0,53157521.0,59703927,216233244,128.65,7680025,1837878,16.55,3.96,52.9,12.66,62432903.14826,29721126.93531
6,2022,3,33013,96727,1161370,1151906,823505,479822,6995750,349035,11091128,62.46,1395277,6031970,2871541,557110,235230,11091128,23.95,76.64,11078691,12437,11091128,64086784.3305304,6250732.0,53008139.0,59258871,180356862,127.98,7665931,2064699,16.56,4.46,52.97,14.27,52399891.49,27073190.88648
7,2022,2,33667,99498,1193090,1197030,856562,485321,6741922,351594,10958684,58.44,1468333,5979214,2723285,556243,231609,10958684,23.7204423164287,75.96542437191371,10946248,12436,10958684,60419500.6232803,6245815.0,52865377.0,59111192,153032313,127.95,7647584,2064637,16.55,4.47,53.01,14.31,46322065.49286,23559484.82987
8,2022,1,34890,104840,1263273,1209148,967508,509830,6336187,198333,10624009,55.11,1533240,6073426,2219533,545814,251996,10624009,23.049171038697732,73.87880284452622,10611390,12619,10624009,55219313.0146503,6231309.0,52937601.0,59168910,130454676,128.37,7564827,2049628,16.412165257122677,4.446741934961082,52.6054112422108,14.253005896043629,42113438.81155,21268086.24388
9,2021,4,41262,28521,1413208,1245333,976539,558358,6032322,194251,10489794,52.34,1657615,5984240,2072236,523107,252596,10489794,22.810702052174992,73.17639652814779,10476933,12861,10489794,45467887.16501248,6186993.763102654,52878833.23689735,59065827,127389786,128.44,7596758,2010217,16.52,4.37,52.99,14.02,38273391.79538,18038065.444155
10,2021,3,40174,41437,2550229,1095772,710122,536364,4948174,163269,10085541,48.46,1950631,5826257,1566048,492415,250190,10085541,21.982550082706407,70.57885341443017,10075184,10357,10085541,42999944.292822465,6104479.0,51708030.0,57812509,117751925,126.01,7676892,2147571,16.73263366531633,4.680868092615744,53.72307099305944,15.028752429451352,36398025.52693,18039519.503485
11,2021,2,40172,42024,2531271,1080279,693277,647401,4661291,167369,9863084,45.63,2018587,5641731,1472246,476968,253552,9863084,21.54793892759205,69.24018269199719,9852702,10382,9863084,38239666.63354247,6046091.0,50829471.0,56875562,104782020,124.26,7333071,2326029,16.020604311967368,5.081689544143394,51.47914949658611,16.32903794663855,33674995.79323,18038442.363725
12,2021,1,39487,41674,2593477,1072722,737930,595920,4379965,186797,9647972,43.11,2175211,5424782,1362976,434548,250455,9647972,21.127831812160064,67.94587638885211,9637956,10016,9647972,36676371.36239245,6041047.0,50411986.0,56453033,93112153,123.62,7346948,2261855,16.088881857937167,4.953174825081717,51.740906860356176,15.92912170967195,31924515.0076,18038360.963335
13,2020,4,39510,42185,2622638,1073875,786595,582420,4239237,185102,9571562,42.36,2213949,5371824,1311199,421554,253036,9571562,21.010191748284452,67.62233866155619,9561546,10016,9571562,33539702.716311768,5556298.674264678,49207602.32573532,54763900,83479114,120.21,7332508,2320365,16.095324783544186,5.093349818557102,51.803596864813706,16.393197667049726,26324098.621390026,14479622.618580002
14,2020,3,41038,44005,2637984,1040017,799350,538567,4053461,201777,9356199,40.67,2263889,5259351,1170879,413259,248821,9356199,20.59,66.31,9346183,10016,9356199,31997444.530699246,5559723.535561988,49060162.46443802,54619886,79634755,120.18,7329433,2451671,16.12680521976837,5.395451933122048,51.94655908573787,17.37945977636162,25386154.60254001,12933200.33142
15,2020,2,41038,48690,2651502,1053107,807775,523437,3711499,194008,9031056,38.32,2295533,5005115,1106725,376667,247016,9031056,19.918402765295003,64.21000287666993,9021040,10016,9031056,32102475.991463635,5659667.0,49391056.0,55050723,73538944,121.71,7224135,2453731,15.933156716209536,5.411814779544062,51.36295568662756,17.445808615135835,24620009.490230024,12544725.927630002
16,2020,1,42550,56170,2649819,1022014,814470,532309,3500882,194212,8812426,37.52,2299457,4903674,1047817,352333,209145,8812426,19.483264768615577,62.85636111359369,8802435,9991,8812426,29946216.452049132,5743132.047436371,49869047.95256363,55612810,72077147,123.81,7221911,2456768,15.966818234658344,5.431632721688914,51.511700154558405,17.52338080119156,25147465.799990024,12352763.877330001
17,2019,4,38272,28980,2792307,1046128,851619,1004083,2830746,201046,8793181,28.26,2414575,4883869,941295,340144,213298,8793181,19.48790008712971,62.91991182091471,8783053,10128,8793181,24169250.699015297,5797378.270854803,50133535.7291452,55930914,65388842,124.89,7296185,2459872,16.170180540718366,5.451694871642916,52.20810498829498,17.601699468114795,22785446.51159,12150588.86245
18,2019,3,241713,80599,3309137,1026859,806466,1141545,2314898,243467,9164684,24.18,2909805,4800091,852221,338241,264326,9164684,20.360660718556826,65.7879845391111,9142891,21793,9164684,21652748.444642507,5974898.0,50300828.0,56275726,60905891,128.68,7156690,2460927,15.899613882801463,5.467302495114495,51.37375288348306,17.665576623032617,20284731.23072,10896197.621709999
19,2019,2,202790,95980,3444458,871142,1169632,1250366,1677830,247983,8960181,20.33,2990457,4635575,760794,308027,265328,8960181,19.96,64.53,8938427,21754,8960181,20743117.694006097,5924037.0,51672054.0,57596091,55338816,128.91,7048709,2460177,15.698091129967365,5.479029243773537,50.760327333732,17.716632906666852,18392209.465220008,9937613.37531
20,2019,1,166573,195706,3428759,882836,1464748,1244215,1138728,126570,8648135,17.38,3132789,4435439,637099,276419,166389,8648135,19.307906741229864,62.47916610977176,8626323,21812,8648135,20207413.77085243,6645995.0,51960447.0,58606442,50246691,131.17,6971691,2473124,15.581943013093806,5.52151967464631,50.422182936547216,17.867288751397055,17479491.54323,8816484.12921
21,2018,4,138740,201196,3337982,882388,1472634,1688748,599579,152388,8473655,15.95,3329027,4313831,388013,264299,178485,8473655,18.97,61.41580723435766,8451841,21814,8473655,16637686.589009605,6488017.0,52110024.0,58598041,44026803,131.15,6911972,2474558,15.47008824387153,5.538452792427146,50.096954524798164,17.935231739216466,15211246.861738347,8270871.025879472
22,2018,3,5675,220589,3401277,859413,1607137,1571692,524777,156475,8347035,15.36,3521447,4238171,247366,246181,93870,8347035,18.73,60.69,8320223,26812,8347035,15410980.692582969,6551391.0,52289745.0,58841136,43280089,132.02,7043550,2536706,15.803861813996722,5.691696812933303,51.214901027279204,18.44483914010766,14197598.627049988,8179602.99773
23,2018,2,5972,219467,3316868,979416,1905839,1000036,444391,238455,8110444,13.8495399422441,3557216,4038141,226285,194267,94535,8110444,18.24,59.1620687879326,8083533,26911,8110444,14319467.460713817,6637444.0,52828949.0,59466393,40653502,133.76,6930762,2502826,15.589800910438747,5.629764671398292,50.55681516286769,18.25699850417883,13358361.55503001,7797684.05752
24,2018,1,7309,215406,3272724,976956,2068087,862010,397977,236584,8037053,13.221339833489,3574294,3981129,217460,165300,98870,8037053,18.12,58.82,8009981,27072,8037053,13171459.230893355,7101698.0,53470098.0,60571796,38733946,136.59,6932176,2466902,15.63,5.56,50.73,18.05,12277309.945120016,7145424.81741
25,2017,4,15041,221474,3773159,1005545,1730353,631946,337559,155145,7870222,12.0076260812107,3584311,3818157,211425,155775,100554,7870222,17.7929770681446,57.782350963183326,7842778,27444,7870222,11226127.38858,7108228.0,54789151.0,61897379,38110028,139.94,6826025,2562320,15.432259254133111,5.7928862745229255,50.115965246401366,18.812286809696587,11642559.206030425,6844906.427001071
26,2017,3,19022,217997,4062226,1062810,1592304,353480,245790,0,7553629,8.33904815764714,3622575,3670221,193964,106443,131740,7724943,17.5090322340829,56.89922141223151,7696594,28349,7724943,10065997.86215,7272585.0,54958224.0,62230809,35711689,141.05,6767020,2592551,15.36,5.89,49.84,19.1,10764742.397120008,6093649.61426
27,2017,2,22366,222766,4416065,990281,1342000,231604,98635,0,7323717,7.15995552367739,3723518,3383434,180777,85813,56122,7429664,16.8829367167329,54.901190659837084,7401134,28530,7429664,9678646.92829,7415230.0,55483528.0,62898758,33509264,142.81,6766484,2576258,15.375948569199442,5.854208848936703,50.0,19.04,9936138.83024,5764634.73465
28,2017,1,20653,230159,4584534,975027,1129987,210668,47990,0,7199018,6.62407908134137,3708898,3276251,180146,84813,55746,7305854,16.6445653587914,54.16211582414749,7277314,28540,7305854,8701201.42137,7502772.0,55523350.0,63026122,31205565,143.59,6603332,2531404,14.992304087761894,5.747337637570973,49.01,18.77,9607361.14829,5262244.08055
29,2016,4,20724,233398,4673339,971094,1038029,169522,38590,0,7144696,6.33738413446842,3722794,3210602,178070,85119,55088,7251673,16.564000030973244,53.93601866428618,7223128,28545,7251673,7483980.393279007,7637635.0,56082170.0,63719805,30143233,145.55,6553801,2662031,15.034975157814682,6.106924814215838,50.454472340892195,20.493660008916596,8517141.19860001,5016640.94957
30,2016,3,20104,294413,4816081,936533,919208,124564,31022,0,7141925,5.9387765869846,3776442,3124855,169898,81455,54300,7206950,16.504675674002662,53.73418622887769,7178340,28610,7206950,6912441.538856647,7520789.0,56058550.0,63579339,27416177,145.6,6538382,2628542,14.999602664515244,6.030098208852011,50.33576908624284,20.235844761821948,8293761.487130001,4653224.18098
31,2016,2,44008,384221,5058481,796998,785759,73977,29020,0,7172464,5.42353097512933,3782085,3035272,167788,85452,59482,7130079,16.371351499331684,53.342201152611636,7097604,32475,7130079,6534240.597500004,7565115.0,54557406.0,62122521,25353971,142.64,6534381,2642286,14.990424031290583,6.061628110136625,50.30496736616682,20.341653019938608,7353428.976740011,4400976.43396
32,2016,1,30428,404810,4944358,762999,641646,27664,23380,0,6835285,5.08370177629755,3792493,2806359,164371,85370,58763,6907356,15.901801868833909,51.84545169695796,6874704,32652,6907356,5936844.886499999,7483126.0,54003635.0,61486761,24763052,141.55,6505712,2539255,14.924654914590306,5.825266260656483,50.08425891506478,19.5484683108279,7137386.233799997,4069679.63141
33,2015,4,34243,427394,5049640,726740,639011,17568,22170,0,6916766,4.99044890054109,3803024,2898226,139187,85726,58668,6984831,16.122696946278083,52.63088750448939,6952289,32542,6984831,5376899.206,7594526.0,54247485.0,61842011,24881967,142.75,6506102,2537610,15.08417677969977,5.883362701343129,50.608314730993335,19.73903353260001,6347226.858890004,3635228.3899800004
34,2015,3,35030,455777,5087802,701187,539414,13101,20677,0,6852988,4.78891116867562,3788696,2840203,162663,84530,58976,6935068,16.050289147694723,52.45910622153948,6902267,32801,6935068,5153738.8843600005,7600799.0,53131712.0,60732511,21785238,140.56,6489305,2585384,15.045233505006474,5.994125099699838,50.47765771661875,20.110647999750768,6130815.966560004,3439335.7035399997
35,2015,2,40723,500175,5138431,645440,432762,10045,18529,0,6786105,4.54538147818226,3767821,2756294,150839,82077,59157,6816188,15.8172335655737,51.760266081540586,6783279,32909,6816188,4701790.719660001,7633527.0,52241939.0,59875466,19945453,138.94,6460053,2582737,14.977413735325676,5.987988119994345,50.2501183355099,20.09005806600965,5467604.993469998,3196654.99562
36,2015,1,41158,516919,5121423,571620,348102,7643,16347,0,6623212,4.35027886167618,3756153,2668248,168188,79098,66045,6737732,15.677234003379093,51.36458636223469,6699714,38018,6737732,4876385.315070001,7747230.0,52474633.0,60221863,19337342,140.12,6409504,2495326,14.860217593605634,5.785328681748474,49.856918274807356,19.410123537016585,5292088.221970008,3021837.2317500003
37,2014,4,44075,554749,5084556,496251,276254,4371,15229,0,6475485,4.15688796190556,3764038,2536219,149682,76984,71573,6598496,15.394676968457423,50.49978847426527,6559172,39324,6598496,3950440.78037,8027505.0,53093330.0,61120835,20012332,142.6,6478044,2466184,15.1819074514583,5.7797349394766755,50.92465642172362,19.18343980105754,4711967.388350004,2686124.01359
38,2014,3,37430,608018,5153437,373372,182483,507,12424,0,6367671,3.86726501227843,3714764,2569868,155494,85096,70049,6595271,15.428768804428332,50.67236813472314,6559264,36007,6595271,3478637.7427996206,8214424.0,53102043.0,61316467,18976053,143.44,6449845,2450098,15.115820433799318,5.742035880429815,50.702980806918255,19.05831336578758,4423008.815120004,2530796.7177600004
39,2014,2,41064,656408,5149574,341689,147273,478,12259,0,6348745,3.75871218894443,3708882,2461670,149363,72405,72148,6464468,15.163908007906054,49.861428437657636,6428329,36139,6464468,3270816.20391,7953775.0,53009865.0,60963640,17680972,143.0,6438522,2546820,15.089283914740037,5.968713015151337,50.613969388554445,19.81067436741515,4053729.0735799978,2341708.3124799994
40,2014,1,52684,687619,5130294,289182,101127,345,11595,0,6272846,3.6171267670209,3697066,2407330,150323,70749,72930,6398398,15.050103872893196,49.545821345016996,6362108,36290,6398398,2984054.2087800005,8224482.0,54725089.0,62949571,15938353,148.07,5434532,0,12.736338602514676,5.5692684470171905,42.72148736761629,18.4848833221679,3599484.352980001,2001221.16707
